Description,Brand,Price,Img url,Country
Juhayna Full Cream Milk - 200 ml,Juhayna,10.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he3/h4e/26626490007582/71390_main.jpg_200Wx200H,Egypt
Rich Bake Bread Crumbs - 400gm,Rich Bake,17.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hda/hd8/48146419286046/200Wx200H_38158_main.jpg,Egypt
Juhayna Half Cream Milk - 1 Liter,Juhayna,41.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h14/h98/11259564163102/12722_main.jpg_200Wx200H,Egypt
Juhayna Skimmed Milk - 1 Liter,Juhayna,41.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd9/h45/11259563835422/12723_main.jpg_200Wx200H,Egypt
Juhayna Whipping Cream - 1 Liter,Juhayna,149.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he9/hbd/26626489352222/12726_main.jpg_200Wx200H,Egypt
Domty Baramily Cheese - 450gm,Domty,79.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha5/h8e/9912768397342/420561_main.jpg_200Wx200H,Egypt
Domty Istanboly Natural Cheese - 450gm,Domty,79.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6f/h65/27308104319006/420560_main.jpg_200Wx200H,Egypt
"Domty Feta Cheese, Low Salt - 1 kg",Domty,81.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h86/h19/9287017168926/400371_main.jpg_200Wx200H,Egypt
Domty Olive Feta Cheese - 450gm,Domty,79.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h20/49312444645406/200Wx200H_419781_main.jpg,Egypt
Domty feta Cheese - 500 gm,Domty,35.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h57/hc5/50421440577566/200Wx200H_36598_main.jpg,Egypt
Domty White Cheese - 700 gram,Domty,84.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6b/haa/9286468435998/41715_main.jpg_200Wx200H,Egypt
Domty Talaga Cheese - 400 gm,Domty,82.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h39/h53/9286516932638/11833_main.jpg_200Wx200H,Egypt
Domty Creamy Cheddar Cheese - 220 gm,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2f/hb1/9933139279902/457071_main.jpg_200Wx200H,Egypt
Domty Feta Plus Cheddar Cheese - 250 gram,Domty,22.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hee/hf6/14274514583582/556304_main.jpg_200Wx200H,Egypt
Domty Creamy Cheese - 220 gm,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1a/had/9933139116062/457069_main.jpg_200Wx200H,Egypt
Domty Feta Cheese - 250 gm,Domty,18.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2f/hd2/9286519226398/11831_main.jpg_200Wx200H,Egypt
Domty Feta Natural Cheese - 500 gram,Domty,84.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h30/h41/15843528572958/446647_main.jpg_200Wx200H,Egypt
Domty Feta Cheese With Olive - 1 kg,Domty,81.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2f/hfe/9802655334430/424285_main.jpg_200Wx200H,Egypt
Domty Plus Feta Cheese Romy - 250 gram,Domty,22.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha3/h39/14274516418590/556306_main.jpg_200Wx200H,Egypt
Domty Feta Cheese Plus Basterma - 250 gram,Domty,22.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/h8f/14274513600542/556308_main.jpg_200Wx200H,Egypt
Domty Creamy Cheese With Olives - 220 gm,Domty,54.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/hb7/9933139443742/457072_main.jpg_200Wx200H,Egypt
Domty Spread Cheese - 380gm,Domty,112.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h08/hdc/9286861914142/380433_main.jpg_200Wx200H,Egypt
Domty Cheddar Spread Cheese - 380gm,Domty,112.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcf/h86/9286862307358/380435_main.jpg_200Wx200H,Egypt
