Description,Brand,Price,Img url,Country
Juhayna Pure Orange And Carrot Juice - 1 Liter,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h21/h84/26753215725598/310920_main.jpg_200Wx200H,Egypt
Lamar Apple Juice 100% - 1 Liter,Lamar,37.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h45/ha4/35096192155678/200Wx200H_393669_main.jpg,Egypt
Juhayna Pure Guava Juice - 1 Liter&nbsp;,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h50/hea/26753214840862/310919_main.jpg_200Wx200H,Egypt
Juhayna Pure Cocktail Juice - 1 Liter,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2a/h3e/26753217200158/48364_main.jpg_200Wx200H,Egypt
Lamar Pineapple Drink - 200ml,Lamar,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h08/hae/35096195792926/200Wx200H_540014_main.jpg,Egypt
Lamar Mango Juice 100% - 1 Liter,Lamar,38.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hab/h9f/14584701911070/519155_main.jpg_200Wx200H,Egypt
Lamar Orange Juice 100% - 1 Liter,Lamar,37.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h91/hab/27933586423838/393668_main.jpg_200Wx200H,Egypt
Domty Mango Premium Drink - 235 ml,Domty,8.15 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbb/hf6/14539595710494/396561_main.jpg_200Wx200H,Egypt
Juhayna Classic Cocktail Juice - 235ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2a/hfb/26753206222878/433829_main.jpg_200Wx200H,Egypt
Lamar Guava Drink - 200ml,Lamar,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h56/hf9/35096196284446/200Wx200H_540011_main.jpg,Egypt
Juhayna Premium Classics Pineapple Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2d/h2e/26753204158494/433830_main.jpg_200Wx200H,Egypt
Juhayna Pure Apple Juice - 235 ml,Juhayna,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h51/h43/46979620536350/200Wx200H_445691_main.jpg,Egypt
Lamar Pomegranate Juice 100% - 1 Liter,Lamar,37.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb5/h99/35096192483358/200Wx200H_415923_main.jpg,Egypt
Juhayna Classic Mix Berries Juice - 1 Liter,Juhayna,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8a/hc6/26753167851550/455512_main.jpg_200Wx200H,Egypt
Lamar Apple Flavour Juice - 1 Liter,Lamar,21.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/hfc/35096191664158/200Wx200H_452601_main.jpg,Egypt
Juhayna Pure Pomegranate Juice - 1 Liter,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf1/h9e/26753202323486/460448_main.jpg_200Wx200H,Egypt
Domty Apple Premium Drink - 235 ml,Domty,6.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8d/hac/14539596365854/396553_main.jpg_200Wx200H,Egypt
Juhayna Pure Mango And Peach Juice - 235 ml,Juhayna,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha9/had/46979621584926/200Wx200H_445696_main.jpg,Egypt
Juhayna Mixed Berries Flavour Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/h6d/26753168375838/455510_main.jpg_200Wx200H,Egypt
Birell Natural Malt Beverage - 275ml,Fayrouz,11.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/h64/16573274816542/554307_main.jpg_200Wx200H,Egypt
Lamar Red Grape Juice 100% - 1 Liter,Lamar,37.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4f/h93/35096192647198/200Wx200H_415538_main.jpg,Egypt
Lamar Mango Drink - 1 Liter,Lamar,23.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h89/hf8/35096191336478/200Wx200H_393670_main.jpg,Egypt
Juhayna Pure Pineapple Juice - 235 ml,Juhayna,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf2/h9b/46979621027870/200Wx200H_445695_main.jpg,Egypt
Lamar Mango Juice 100% - 200ml,Lamar,8.30 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb3/hf9/14539697913886/526842_main.jpg_200Wx200H,Egypt
Juhayna Classic Apple And Pear Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7c/h85/26774752460830/458365_main.jpg_200Wx200H,Egypt
Domty Guava Premium Drink - 235 ml,Domty,6.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdc/he9/14539595382814/396551_main.jpg_200Wx200H,Egypt
Juhayna Classic Guava Juice - 235ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0e/hf1/48674601566238/200Wx200H_433832_main.jpg,Egypt
Lamar Cranberry Juice 100% - 1 Liter,Lamar,37.70 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h86/hcd/14584675991582/510955_main.jpg_200Wx200H,Egypt
Vitrac Tamarind Syrup - 770 ml,Vitrac,56.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h3f/h45/31821586890782/3892_main.jpg_200Wx200H,Egypt
Juhayna Premium Classics Red Grapes Juice - 235 ml,Juhayna,9.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd1/h90/26753207271454/433827_main.jpg_200Wx200H,Egypt
Lamar Lemon Mint Drink - 200ml,Lamar,5.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdf/ha9/35096195629086/200Wx200H_540013_main.jpg,Egypt
Juhayna Pure Cocktail Juice - 235 ml,Juhayna,11.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h11/h6e/26753163821086/445692_main.jpg_200Wx200H,Egypt
Domty Cocktail Premium Drink - 235 ml,Domty,6.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h42/hf0/14539595546654/396557_main.jpg_200Wx200H,Egypt
Maya Natural Mineral Water - 2 Liters,Carrefour,7.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h00/h51/14240528629790/556912_main.jpg_200Wx200H,Egypt
Juhayna Pure Red Grapes Juice - 1 Litre,Juhayna,42.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf2/h45/26753204846622/371512_main.jpg_200Wx200H,Egypt
Domty Pineapple Premium Drink - 235 ml,Domty,6.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h08/hb4/26611634012190/396559_main.jpg_200Wx200H,Egypt
Lamar Cocktail Flavour Juice - 1 Liter,Lamar,21.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfa/hed/35096191008798/200Wx200H_469119_main.jpg,Egypt
Domty Orange Premium Drink - 235 ml,Domty,6.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hfd/ha1/14539596693534/396555_main.jpg_200Wx200H,Egypt
Vitrac Carob Syrup - 650 ml,Vitrac,55.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h15/h41/31821586726942/3891_main.jpg_200Wx200H,Egypt
