Description,Brand,Price,Img url,Country
El Maleka Penne Pasta - 1 kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha7/hcb/48236963921950/200Wx200H_251412_main.jpg,Egypt
El Hanim Vegetable Ghee - 1.5kg,Unknown,117.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/hab/15070607638558/98975_main.jpg_200Wx200H,Egypt
Halla Sunflower Oil - 1.5 Liter,H'la,117.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h87/h46/15070710497310/277445_main.jpg_200Wx200H,Egypt
Italiano Small Rings Pasta - 400 grams,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h75/ha7/14610621726750/16901_main.jpg_200Wx200H,Egypt
El Maleka Small Rings Pasta - 400 gm,Elmaleka,12.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2c/he7/48236963102750/200Wx200H_46905_main.jpg,Egypt
Al Doha Egyptian Rice - 5kg,El Doha,215.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb1/h88/15127752966174/17998_main.jpg_200Wx200H,Egypt
Afia Sunflower Oil - 800 ml,Afia,72.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha6/h12/15173294915614/544730_main.jpg_200Wx200H,Egypt
El Maleka Spaghetti Pasta - 1 kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h89/hd5/48236963659806/200Wx200H_131615_main.jpg,Egypt
Ganna Vegetable Ghee - 700 gram,Ganna,59.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc7/hed/51411619545118/200Wx200H_92289_main.jpg,Egypt
Asil Sunflower Oil - 2.25 Liters,Al Asil,166.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h19/hf2/15070718623774/383864_main.jpg_200Wx200H,Egypt
Italiano Pasta Fettucini - 400 grams,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h24/h4e/14610711773214/411452_main.jpg_200Wx200H,Egypt
Afia Corn Oil - 1.6 Liter,Afia,168.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8b/h49/30197841625118/480687_main.jpg_200Wx200H,Egypt
Imtenan Clover Blossom Pure Bee Honey - 800 gram,Imtenan,169.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6c/h65/14854070370334/262288_main.jpg_200Wx200H,Egypt
Crystal Vegetable Gold Ghee - 2.5kg,Crystal,199.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h91/h41/15070708727838/393103_main.jpg_200Wx200H,Egypt
ElBawady Tahina - 470 gram + Molasses - 350 gram,El bawadi,101.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h54/h3b/44951079518238/200Wx200H_107940_main.jpg,Egypt
Afia Plus Corn Oil - 800ml,Afia,79.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1b/h39/15173295079454/546294_main.jpg_200Wx200H,Egypt
ElMaleka Small Rings Pasta - 1 Kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h45/h2b/31371374886942/251418_main.jpg_200Wx200H,Egypt
Harvest Tomato Paste - 320 gram,Harvest,24.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h01/h8c/14952321908766/322974_main.jpg_200Wx200H,Egypt
El Bawadi Plain Halawa -570 gram,El bawadi,81.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbb/hab/44951078338590/200Wx200H_107935_main.jpg,Egypt
Italiano Pasta Vermicelli - 400 Gm,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h43/hb5/14610715312158/411462_main.jpg_200Wx200H,Egypt
Al Doha Popcorn - 500 Gram,El Doha,46.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h7d/h57/34710145171486/17995_main.jpg_200Wx200H,Egypt
El-Bawadi Molasses - 680 gram,El bawadi,37.35 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/h9a/44951078895646/200Wx200H_107939_main.jpg,Egypt
Crystal Corn Oil - 800ml,Crystal,83.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/h1d/15070778392606/543986_main.jpg_200Wx200H,Egypt
Ganna Vegetable Ghee - 1.5kg,Ganna,120.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/h99/15070712823838/18749_main.jpg_200Wx200H,Egypt
Zaza Sunflower Oil - 700ML,Carrefour,47.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h98/h5d/47992472338462/200Wx200H_604813_main.jpg,Egypt
Italiano Premium Big Rings Pasta - 400 grams,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h42/h8c/14610624479262/411461_main.jpg_200Wx200H,Egypt
El-Maleka Pasta BiG Rings - 400 Gm,Elmaleka,12.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h72/hc9/14610710233118/46904_main.jpg_200Wx200H,Egypt
Wadi Food Natural White Vinegar 1L,Wadi Food,16.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he6/h8e/15070733238302/278321_main.jpg_200Wx200H,Egypt
El Maleka Big Rings Pasta - 1 kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h57/hca/48236962906142/200Wx200H_251417_main.jpg,Egypt
Italiano Premium Fusilli Pasta - 400 grams,Italiano,19.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4b/haa/14610626183198/411459_main.jpg_200Wx200H,Egypt
Wadi Food Virgin Olive Oil 1L,Wadi Food,598.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdb/h1b/14623523667998/108155_main.jpg_200Wx200H,Egypt
Italiano Penne Pasta - 1 KG,Italiano,40.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h85/h26/14611216531486/544719_main.jpg_200Wx200H,Egypt
Americana Sweet Corn - 330gm,Americana,32.10 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hf0/hbe/46169370918942/200Wx200H_601850_main.jpg,Egypt
Hala Sunflower Oil - 750ml,H'la,60.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0e/h82/15070720262174/17716_main.jpg_200Wx200H,Egypt
Imtenan Spring Flowers Pure Bee Honey - 800 gram,Imtenan,169.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4f/h00/14854061391902/460447_main.jpg_200Wx200H,Egypt
Abu Auf Medium roasted blended Turkish Coffee - 250 Gram,Abu auf,174.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h85/h9c/14531013902366/535514_main.jpg_200Wx200H,Egypt
Imtenan Natural Honey - 450 gram,Imtenan,96.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hff/hb1/15632956588062/262289_main.jpg_200Wx200H,Egypt
Al-Asil Sunflower Oil - 700ml,Al Asil,54.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h53/h31/15070757027870/524472_main.jpg_200Wx200H,Egypt
Harvest White Vinegar - 1 Liters,Harvest,15.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/h46/15070758469662/529363_main.jpg_200Wx200H,Egypt
Italiano Pasta Rice - 400 Gram,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8c/h36/14610709905438/16894_main.jpg_200Wx200H,Egypt
Abu Auf Medium roasted Plain Turkish Coffee - 250 Gram,Abu auf,148.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd6/hf2/14531014393886/535515_main.jpg_200Wx200H,Egypt
Crystal White Vegetable Ghee - 700 gram,Crystal,57.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/had/h9f/15070738219038/504713_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Plain Halawa - 510 gram,El rashidi el mizan,77.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2e/h35/48028778266654/200Wx200H_17573_main.jpg,Egypt
N1 Choco Pops Cereal - 375gm,Unknown,48.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h21/h67/9400043667486/395822_main.jpg_200Wx200H,Egypt
Italiano Small Rings Pasta - 1 KG,Italiano,40.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h09/h1c/14611216859166/544720_main.jpg_200Wx200H,Egypt
El Maleka Elbow Pasta - 1kg,Elmaleka,28.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/he5/h7f/48236964085790/200Wx200H_251416_main.jpg,Egypt
Al Doha Oat Flakes - 500 gram,El Doha,63.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/heb/h1d/15127889412126/542233_main.jpg_200Wx200H,Egypt
Italiano Pasta Shells - 400 Gm,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h14/h45/14610643255326/411458_main.jpg_200Wx200H,Egypt
Hala Sunflower Oil - 500ml,H'la,40.55 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h73/h44/15070716919838/21262_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Halawa Plain - 700 gram,El rashidi el mizan,101.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hdb/h91/27040780615710/424346_main.jpg_200Wx200H,Egypt
Cairo Spaghetti Pasta - 1 Kg,Unknown,24.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h04/h41/34674602573854/592006_main.jpg_200Wx200H,Egypt
Al Bawadi Chocolate And Hazelnut Halawa Spread  - 300 gram,El bawadi,57.10 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h87/h24/44951083876382/200Wx200H_375048_main.jpg,Egypt
Halwani Bros Tahina - 710 gram,Halwani bros,152.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6d/h66/33991039909918/17091_main.jpg_200Wx200H,Egypt
Corona Bimbo Chocolate Biscuits - 37 Gram x12,Bimbo,65.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h91/h8e/32967888535582/370010_main.jpg_200Wx200H,Egypt
Hanady Sunflower Mixed Oil - 700ml,Hanady,47.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd4/h22/15070752997406/513870_main.jpg_200Wx200H,Egypt
Cairo Penne Pasta - 1 Kg,Unknown,24.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc6/h1b/34674601918494/592007_main.jpg_200Wx200H,Egypt
Cairo Small Rings Pasta - 400 gram,Unknown,10.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h99/h23/34746919878686/591998_main.jpg_200Wx200H,Egypt
Italiano Big Rings Pasta - 1 KG,Italiano,40.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h07/h58/27539137822750/544723_main.jpg_200Wx200H,Egypt
Crystal Vegetable White Ghee - 2.5kg,Crystal,199.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h03/hee/15070718787614/393102_main.jpg_200Wx200H,Egypt
AL Asil Corn Oil - 2.25 Liters,Al Asil,211.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb5/haa/15070717804574/278830_main.jpg_200Wx200H,Egypt
Italiano Pasta Ziti - 400 Gram,Italiano,16.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8b/h2e/14786739011614/411456_main.jpg_200Wx200H,Egypt
Bisco Misr Luxe Original Plain Biscuits 12 Piece x Pack of 12,Biscomisr,48.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h13/hb0/14953381822494/537605_main.jpg_200Wx200H,Egypt
Al Doha Egyptian Beans - 500 gram,El Doha,56.10 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h6b/hc1/34710146187294/17988_main.jpg_200Wx200H,Egypt
Italiano Premium Serpentini Pasta - 400 grams,Italiano,19.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1c/hae/14610715541534/411460_main.jpg_200Wx200H,Egypt
El Rashidi El Mizan Strawberry Jam jar - 700 grams,El rashidi el mizan,46.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb0/he0/47857083842590/200Wx200H_306975_main.jpg,Egypt
Elbasha Egyptian Fava Beans - 500 Gram,Carrefour,21.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/h0e/47672348672030/200Wx200H_574100_main.jpg,Egypt
Halwani Bros Halawa Plain - 575 gram,Halwani bros,74.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h00/hd9/14854111789086/34422_main.jpg_200Wx200H,Egypt
Afia Corn Oil - 800ml,Afia,84.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd4/h2d/15173294129182/543878_main.jpg_200Wx200H,Egypt
Wadi Food Tomato Paste 360g,Wadi Food,20.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h8f/hbd/14952279834654/353769_main.jpg_200Wx200H,Egypt
N1 Cappuccino - 200 gm,Unknown,39.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbc/h6e/9802033037342/133562_main.jpg_200Wx200H,Egypt
Bimbo Coco Biscuits Coated With Choco - 1Piece -12 Count,Bimbo,65.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h37/hfa/32967889911838/500405_main.jpg_200Wx200H,Egypt
Ganna Bee Honey - 900 gram,Ganna,125.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hbe/h72/14854062604318/262299_main.jpg_200Wx200H,Egypt
El Bawadi Halwa - 740 gram,El bawadi,102.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h1a/h9e/44951078731806/200Wx200H_406177_main.jpg,Egypt
El Arosa Black Broken Pekoe Tea - 250 grams,El arosa tea,59.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h41/hc9/14584683954206/21011_main.jpg_200Wx200H,Egypt
Cairo Big Rings Pasta - 400 gram,Unknown,10.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha3/ha5/34746921779230/592002_main.jpg_200Wx200H,Egypt
Italiano Spaghetti Pasta - 1 KG,Italiano,40.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h80/h5e/27539137658910/544722_main.jpg_200Wx200H,Egypt
Cairo Elbow Pasta - 400 gram,Unknown,10.25 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h30/hb3/34746921386014/591996_main.jpg_200Wx200H,Egypt
Crystal Gold Vegetable Ghee - 700 gram,Crystal,57.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h47/h99/15070738055198/504714_main.jpg_200Wx200H,Egypt
El Doha Brown Lentil - 500 Gram,El Doha,53.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb3/he2/34710142255134/17987_main.jpg_200Wx200H,Egypt
AlZaeem Multi Purpose Premium Flour - 1 kg,Al zaeem,21.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h77/h28/49347705962526/200Wx200H_603320_main.jpg,Egypt
Todo Brownies Cake 8 Pieces,Todo,52.40 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc5/he2/49986569699358/200Wx200H_530999_main.jpg,Egypt
N1 Honey Pops Cereal - 375gm,Unknown,48.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/h5c/9400043339806/395821_main.jpg_200Wx200H,Egypt
Freska Chocolate Wafer Biscuits - 25 gm - Pack of 24,Freska,66.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h08/h19/49986558787614/200Wx200H_374453_main.jpg,Egypt
Freska White Chocolate Wafer - 20 gram,Freska,2.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h5d/h31/49986562457630/200Wx200H_407006_main.jpg,Egypt
