Description,Brand,Price,Img url,Country
Basma Frozen Mixed Vegetables - 400 gram,Basma,11.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hef/hdf/14623555452958/11661_main.jpg_200Wx200H,Egypt
Givrex Frozen Peas &amp; Carrots - 400 gram,Givrex,24.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h90/he6/14623550767134/12156_main.jpg_200Wx200H,Egypt
Chicketita Chicken Nuggets - 1 kg,Chicketita,109.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h4e/ha6/16377242877982/455422_main.jpg_200Wx200H,Egypt
Basma Frozen Green Beans - 400 gram,Basma,10.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h9e/hfa/14623631212574/11659_main.jpg_200Wx200H,Egypt
Three Chefs Hot Dog - 25 Pieces -1Kg,3 Chefs,226.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h48/h40/16764528230430/542547_main.jpg_200Wx200H,Egypt
Givrex Frozen Small Okra - 400 Gram,Givrex,37.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h45/hfb/14623550144542/12151_main.jpg_200Wx200H,Egypt
Shicketita Chicken Pane - 1kg,Chicketita,129.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd7/h46/15173287346206/450678_main.jpg_200Wx200H,Egypt
Almarai Beef Burger - 1 kg,Almarai,217.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb1/h9f/49332903903262/200Wx200H_11544_main.jpg,Egypt
Montana Molokhya - 400 Gram,Montana,10.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h64/h07/14818543304734/12485_main.jpg_200Wx200H,Egypt
Shahd Chicken Filet - 800 gram,Shahd,186.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h89/h1d/50270986862622/200Wx200H_554958_main.jpg,Egypt
Shahd Chicken Strips Spicy - 750 gram,Shahd,185.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hd2/he2/50270988402718/200Wx200H_554963_main.jpg,Egypt
Faraza Whole Chicken - 900-950 gram,Unknown,130.60 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h0c/hca/45710397472798/200Wx200H_600867_main.jpg,Egypt
Shicketita Spicy Chicken Pane - 1kg,Chicketita,129.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb1/he7/50054142525470/200Wx200H_534731_main.jpg,Egypt
Shahd Frozen Whole Chicken - 850-900 gm,Shahd,126.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc2/h96/13120244842526/226632_main.jpg_200Wx200H,Egypt
AlMarai Lebanese Recipe Cheese Sambousak - 8 Pieces,Almarai,57.65 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hcf/he6/15054969274398/507552_main.jpg_200Wx200H,Egypt
Shahd Spicy Chicken Pane - 1 Kg,Shahd,170.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h10/h17/50270986698782/200Wx200H_558888_main.jpg,Egypt
Chicketita Chicken Pane - 400 gram,Chicketita,60.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/ha6/h53/26549678211102/534729_main.jpg_200Wx200H,Egypt
Farm Fresh Peas - 400 Gram,Farm fresh,25.50 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h92/h0b/34674363400222/310897_main.jpg_200Wx200H,Egypt
Shahd Chicken Nuggets - 1 Kg,Shahd,146.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h78/hf1/50270988894238/200Wx200H_569906_main.jpg,Egypt
Farm Fresh Minced Molokhia - 400 Gram,Farm fresh,10.75 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h74/h43/34566785531934/310896_main.jpg_200Wx200H,Egypt
Extra Chicken Pane - 1 kg,Extra,100.80 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hec/hb0/16810247979038/569897_main.jpg_200Wx200H,Egypt
Halwani Bros Crunchy Chicken Nuggets - 400 gram,Halwani bros,103.05 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hb3/hf7/14773437333534/38057_main.jpg_200Wx200H,Egypt
Basma Frozen Colcasia - 400 gram,Basma,11.45 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h50/hcf/14623555911710/11666_main.jpg_200Wx200H,Egypt
Home Vegetables Frozen Minced Molokhia - 400 gram,Carrefour,9.95 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc8/h16/15085687963678/560727_main.jpg_200Wx200H,Egypt
Faraza Whole Chicken - 1100-1200 gram,Unknown,162.20 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h31/h86/45710408417310/200Wx200H_600870_main.jpg,Egypt
Nouri Spicy Chicken Crunchy Fillet - 420G,Unknown,97.90 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/h2a/hd6/45710396751902/200Wx200H_600856_main.jpg,Egypt
Chicketita Spicy Chicken Strips - 1 kg,Chicketita,185.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hc8/h29/26549672181790/480001_main.jpg_200Wx200H,Egypt
Givrex Frozen Chopped Green Beans - 400 Gram,Givrex,15.00 EGP,https://cdnprod.mafretailproxy.com/sys-master-root/hde/h8a/14623551324190/12161_main.jpg_200Wx200H,Egypt
